ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-13 00:00:00+00:00,35,1,2702597,3.9,4.3,3.7,4.3,12,UD:1V: VT 2702597
2025-11-13 00:00:00+00:00,35,1,2559054,12.0,12.0,11.75,11.75,16,UD:1V: VT 2559054
2025-11-13 00:00:00+00:00,35,1,2771005,77.0,77.0,77.0,77.0,1,UD:1V: VT 2771005
2025-11-13 00:00:00+00:00,35,1,2854695,63.25,63.25,60.75,60.75,18,UD:1V: GN 2854695
2025-11-13 00:00:00+00:00,35,1,2777557,18.5,18.75,18.5,18.75,30,UD:1V: VT 2777557
2025-11-13 00:00:00+00:00,35,1,2682806,128.25,128.25,128.25,128.25,1,UD:1V: GN 2682806
2025-11-13 00:00:00+00:00,35,1,2778371,-16.0,-16.0,-16.0,-16.0,1,UD:1V: 12 2778371
2025-11-13 00:00:00+00:00,35,1,2775966,-12.25,-12.25,-12.25,-12.25,1,UD:1V: GN 2775966
2025-11-13 00:00:00+00:00,35,1,2784478,32.5,32.5,32.5,32.5,1,UD:1V: VT 2784478
2025-11-13 00:00:00+00:00,35,1,2774777,542.75,546.5,542.75,545.75,3,UD:1V: ST 2774777
2025-11-13 00:00:00+00:00,35,1,2631554,8.75,9.5,8.75,9.25,16,UD:1V: VT 2631554
2025-11-13 00:00:00+00:00,35,1,2627303,253.0,259.0,253.0,259.0,19,UD:1V: ST 2627303
2025-11-13 00:00:00+00:00,35,1,2776074,2.7,2.7,2.7,2.7,98,UD:1V: VT 2776074
2025-11-13 00:00:00+00:00,35,1,2598419,3.35,3.35,3.35,3.35,1,UD:1V: VT 2598419
2025-11-13 00:00:00+00:00,35,1,2770150,8.4,8.4,8.4,8.4,10,UD:1V: IC 2770150
2025-11-13 00:00:00+00:00,35,1,2602248,148.25,148.25,148.25,148.25,1,UD:1V: GN 2602248
2025-11-13 00:00:00+00:00,35,1,2777007,-1.2,-1.2,-1.25,-1.25,22,UD:1V: 12 2777007
2025-11-13 00:00:00+00:00,35,1,2601065,102.25,102.25,102.25,102.25,6,UD:1V: GN 2601065
2025-11-13 00:00:00+00:00,35,1,2946870,4.1,6.3,4.1,6.25,302,UD:1V: VT 2946870
2025-11-13 00:00:00+00:00,35,1,2927292,7.0,7.0,7.0,7.0,205,UD:1V: VT 2927292
2025-11-13 00:00:00+00:00,35,1,2602243,5.4,5.4,2.7,2.7,11,UD:1V: VT 2602243
2025-11-13 00:00:00+00:00,35,1,2630210,-8.0,-8.0,-40.0,-40.0,2,UD:1V: RR 2630210
2025-11-13 00:00:00+00:00,35,1,2536884,19.5,19.5,15.5,15.5,772,UD:1V: VT 2536884
2025-11-13 00:00:00+00:00,35,1,2601388,19.0,25.0,19.0,25.0,8,UD:1V: VT 2601388
2025-11-13 00:00:00+00:00,35,1,2601207,1.8,1.8,1.8,1.8,1,UD:1V: GN 2601207
2025-11-13 00:00:00+00:00,35,1,2777829,-25.0,-25.0,-25.0,-25.0,1,UD:1V: GN 2777829
2025-11-13 00:00:00+00:00,35,1,2703081,5.75,7.85,5.75,7.85,15,UD:1V: VT 2703081
2025-11-13 00:00:00+00:00,35,1,2628096,3.8,3.8,3.8,3.8,306,UD:1V: VT 2628096
2025-11-13 00:00:00+00:00,35,1,2856038,2.95,2.95,2.95,2.95,1,UD:1V: GN 2856038
2025-11-13 00:00:00+00:00,35,1,2598711,9.45,9.45,9.45,9.45,1,UD:1V: VT 2598711
2025-11-13 00:00:00+00:00,35,1,2775696,-51.0,-51.0,-51.0,-51.0,2,UD:1V: GN 2775696
2025-11-13 00:00:00+00:00,35,1,2629944,63.75,72.25,63.75,71.5,3,UD:1V: VT 2629944
2025-11-13 00:00:00+00:00,35,1,2856559,-2.05,-2.05,-2.05,-2.05,32,UD:1V: 12 2856559
2025-11-13 00:00:00+00:00,35,1,2557206,48.0,48.0,38.75,38.75,477,UD:1V: VT 2557206
2025-11-13 00:00:00+00:00,35,1,2624843,15.5,15.5,15.0,15.0,9,UD:1V: VT 2624843
2025-11-13 00:00:00+00:00,35,1,2776227,20.75,21.0,20.25,21.0,3,UD:1V: VT 2776227
2025-11-13 00:00:00+00:00,35,1,2602070,3.7,3.75,3.2,3.35,139,UD:1V: VT 2602070
2025-11-13 00:00:00+00:00,35,1,2855659,35.0,35.0,35.0,35.0,1,UD:1V: VT 2855659
2025-11-13 00:00:00+00:00,35,1,2604119,4.55,4.55,4.55,4.55,48,UD:1V: GN 2604119
2025-11-13 00:00:00+00:00,35,1,2771586,-1.0,-1.0,-1.0,-1.0,1,UD:1V: GN 2771586
2025-11-13 00:00:00+00:00,35,1,2855258,54.75,54.75,54.75,54.75,1,UD:1V: VT 2855258
2025-11-13 00:00:00+00:00,35,1,2691338,91.75,94.5,91.75,94.5,209,UD:1V:CFO 2691338
2025-11-13 00:00:00+00:00,35,1,2773409,7.0,7.0,7.0,7.0,3,UD:1V: IC 2773409
2025-11-13 00:00:00+00:00,35,1,2986513,20.0,22.75,20.0,22.75,2,UD:1V: VT 2986513
2025-11-13 00:00:00+00:00,35,1,2770761,60.5,64.25,60.5,64.25,2,UD:1V: GN 2770761
2025-11-13 00:00:00+00:00,35,1,2770616,9.15,9.15,9.15,9.15,1,UD:1V: IC 2770616
2025-11-13 00:00:00+00:00,35,1,2789204,89.25,89.25,89.25,89.25,100,UD:1V:CVT 2789204
2025-11-13 00:00:00+00:00,35,1,2598370,66.5,66.5,53.25,54.0,151,UD:1V: VT 2598370
2025-11-13 00:00:00+00:00,35,1,2854313,4.65,4.65,4.65,4.65,1,UD:1V: VT 2854313
2025-11-13 00:00:00+00:00,35,1,2797673,-32.75,-32.75,-33.5,-33.5,845,UD:1V:CRR 2797673
2025-11-13 00:00:00+00:00,35,1,2639147,4.8,4.8,4.8,4.8,1,UD:1V: GN 2639147
2025-11-13 00:00:00+00:00,35,1,2859393,11.5,15.25,11.5,15.25,127,UD:1V: VT 2859393
2025-11-13 00:00:00+00:00,35,1,2598366,21.0,26.5,21.0,26.5,158,UD:1V: VT 2598366
2025-11-13 00:00:00+00:00,35,1,2598316,25.75,25.75,25.25,25.75,220,UD:1V: VT 2598316
2025-11-13 00:00:00+00:00,35,1,2771224,-9.0,-9.0,-9.0,-9.0,1,UD:1V: GN 2771224
2025-11-13 00:00:00+00:00,35,1,2702720,-1.1,-1.1,-1.1,-1.1,1,UD:1V: GN 2702720
2025-11-13 00:00:00+00:00,35,1,2855618,198.75,198.75,198.75,198.75,1,UD:1V: BX 2855618
2025-11-13 00:00:00+00:00,35,1,2537254,1.2,1.2,1.2,1.2,1,UD:1V: 13 2537254
2025-11-13 00:00:00+00:00,35,1,2771181,14.5,15.75,13.75,15.75,329,UD:1V: VT 2771181
2025-11-13 00:00:00+00:00,35,1,2624006,-3.25,-3.25,-3.25,-3.25,1,UD:1V: GN 2624006
2025-11-13 00:00:00+00:00,35,1,2602100,-11.25,-11.25,-11.25,-11.25,1,UD:1V: GN 2602100
2025-11-13 00:00:00+00:00,35,1,2703715,7.85,7.85,7.85,7.85,2,UD:1V: VT 2703715
2025-11-13 00:00:00+00:00,35,1,2856202,-1.0,-1.0,-1.0,-1.0,1,UD:1V: GN 2856202
2025-11-13 00:00:00+00:00,35,1,2598704,9.85,11.5,9.85,11.5,2,UD:1V: VT 2598704
2025-11-13 00:00:00+00:00,35,1,42542056,160.75,160.75,106.25,106.75,84,ESZ5 C6825
2025-11-13 00:00:00+00:00,35,1,702487,1.75,1.8,1.75,1.8,6,ESZ5 P4200
2025-11-13 00:00:00+00:00,35,1,42431176,2.15,2.5,2.15,2.5,3,ESH6 P2400
2025-11-13 00:00:00+00:00,35,1,273096,38.75,72.0,36.75,61.5,1850,ESZ5 P6500
2025-11-13 00:00:00+00:00,35,1,42347098,31.0,36.0,17.75,18.0,1963,ESZ5 C7100
2025-11-13 00:00:00+00:00,35,1,42616127,2.6,2.6,1.8,1.8,30,ESZ5 C7425
2025-11-13 00:00:00+00:00,35,1,42586223,28.25,28.25,18.5,18.5,51,ESH6 C7650
