ts_recv,ts_event,rtype,publisher_id,instrument_id,ts_ref,price,quantity,sequence,ts_in_delta,stat_type,channel_id,update_action,stat_flags,symbol
2025-11-13T01:07:56.441468533Z,2025-11-13T01:07:56.441003457Z,24,1,294973,,6881.500000000,9223372036854775807,38815396,14127,5,0,1,0,ESZ5
2025-11-13T01:07:56.441638774Z,2025-11-13T01:07:56.441063147Z,24,1,294973,,6881.500000000,9223372036854775807,38815399,11417,8,0,1,0,ESZ5
2025-11-13T01:07:56.441934677Z,2025-11-13T01:07:56.441354801Z,24,1,294973,,6881.750000000,9223372036854775807,38815407,13493,5,0,1,0,ESZ5
2025-11-13T01:07:56.442487939Z,2025-11-13T01:07:56.442326509Z,24,1,42140870,,7019.000000000,9223372036854775807,38815420,11091,8,0,1,0,ESU6
2025-11-13T01:07:56.473689926Z,2025-11-13T01:07:56.473181777Z,24,1,294973,,6881.750000000,9223372036854775807,38815581,13683,8,0,1,0,ESZ5
2025-11-13T01:07:56.473894580Z,2025-11-13T01:07:56.473695241Z,24,1,42140878,,6942.500000000,9223372036854775807,38815586,12262,8,0,1,0,ESH6
2025-11-13T01:07:56.492961273Z,2025-11-13T01:07:56.492868591Z,24,1,42140864,,6996.500000000,9223372036854775807,38815658,12127,8,0,1,0,ESM6
2025-11-13T01:07:58.245911564Z,2025-11-13T01:07:58.243784143Z,24,1,294973,,6882.000000000,9223372036854775807,38816200,14135,5,0,1,0,ESZ5
2025-11-13T01:07:58.246018241Z,2025-11-13T01:07:58.245423405Z,24,1,42140878,,6943.750000000,9223372036854775807,38816201,14290,5,0,1,0,ESH6
2025-11-13T01:07:58.246503906Z,2025-11-13T01:07:58.246000551Z,24,1,294973,,6882.000000000,9223372036854775807,38816206,20365,8,0,1,0,ESZ5
2025-11-13T01:07:58.247209661Z,2025-11-13T01:07:58.246509233Z,24,1,294973,,6882.500000000,9223372036854775807,38816214,16839,5,0,1,0,ESZ5
2025-11-13T01:07:58.247209661Z,2025-11-13T01:07:58.246509409Z,24,1,294973,,6882.250000000,9223372036854775807,38816214,16839,8,0,1,0,ESZ5
2025-11-13T01:07:58.248218399Z,2025-11-13T01:07:58.247220773Z,24,1,42140878,,6943.000000000,9223372036854775807,38816232,12532,8,0,1,0,ESH6
2025-11-13T01:07:58.248341373Z,2025-11-13T01:07:58.247232829Z,24,1,42140864,,6996.750000000,9223372036854775807,38816233,15563,8,0,1,0,ESM6
2025-11-13T01:07:58.309232665Z,2025-11-13T01:07:58.309121843Z,24,1,42140864,,6997.000000000,9223372036854775807,38816436,11430,8,0,1,0,ESM6
2025-11-13T01:07:59.000598882Z,2025-11-13T01:07:59.000032479Z,24,1,42007065,,61.650000000,9223372036854775807,38816880,12169,5,0,1,0,ESZ5-ESH6
2025-11-13T01:08:21.547596017Z,2025-11-13T01:08:21.547470505Z,24,1,294973,,6882.500000000,9223372036854775807,38821685,12891,8,0,1,0,ESZ5
2025-11-13T01:08:22.243157441Z,2025-11-13T01:08:22.242738847Z,24,1,294973,,6882.750000000,9223372036854775807,38822062,16224,5,0,1,0,ESZ5
2025-11-13T01:08:22.243299782Z,2025-11-13T01:08:22.243143033Z,24,1,294973,,6882.750000000,9223372036854775807,38822066,11290,8,0,1,0,ESZ5
2025-11-13T01:08:22.243487741Z,2025-11-13T01:08:22.243305663Z,24,1,42140878,,6943.500000000,9223372036854775807,38822086,11310,8,0,1,0,ESH6
2025-11-13T01:08:34.372482694Z,2025-11-13T01:08:34.372383105Z,24,1,42140864,,6997.250000000,9223372036854775807,38825059,11499,8,0,1,0,ESM6
2025-11-13T01:08:38.373962044Z,2025-11-13T01:08:38.373849757Z,24,1,42140864,,6997.500000000,9223372036854775807,38825661,14480,8,0,1,0,ESM6
2025-11-13T01:08:38.976930252Z,2025-11-13T01:08:38.976582669Z,24,1,294973,,6883.000000000,9223372036854775807,38825759,12112,5,0,1,0,ESZ5
2025-11-13T01:08:39.048152327Z,2025-11-13T01:08:39.048040713Z,24,1,42140864,,6997.750000000,9223372036854775807,38825782,13110,8,0,1,0,ESM6
